时间坐标,穿透率,处理效率,进口浓度,出口浓度,风速段,数据点数,计算规则,拼接时间段
0.013194444444444444,0.05907602973409467,94.09239702659052,25.255748637816144,2.984018714968895,,3,规则2-拼接段,1_2
0.05347222222222222,0.001271904941699146,99.87280950583009,38.8345958949534,0.0493939144276806,,2,规则2-拼接段,3_4
0.16569444444444445,0.034660643805132896,96.53393561948671,38.095333272126524,1.3204087771830053,,4,规则2-拼接段,5_6
0.24347222222222223,0.04501776622914108,95.49822337708589,61.26748700201961,1.3790627036519292,,3,规则2-拼接段,7_8
1.0466666666666666,0.06444118518658987,93.55588148134102,41.9744588962975,2.7048838788432117,,4,规则2-拼接段,9_10
1.8216666666666668,0.08074627767353248,91.92537223264675,41.64939983854449,3.3630340042990925,,2,规则2-拼接段,11_12
1.9559722222222222,0.08731623656799131,91.26837634320086,43.13442025388642,3.7663352431115023,,4,规则2-拼接段,13_14
2.0556944444444443,0.12732060604980402,87.2679393950196,49.035878887960315,3.1216389090999486,,3,规则2-拼接段,15_16
3.363888888888889,0.05388356558841342,94.61164344115865,30.450926861473643,3.2816090295363893,,3,规则2-拼接段,17_18
3.4809722222222224,0.0011388830271667086,99.88611169728333,42.457710571220616,0.0483543659419197,,2,规则2-拼接段,19_20
3.635,0.001174340427446706,99.88256595725534,53.239029255392175,0.03126037218631247,,3,规则2-拼接段,21_22
5.217083333333333,0.04481482546855601,95.5185174531444,31.243461957809334,2.800340589345389,,3,规则2-拼接段,23_24
5.2941666666666665,0.020636822139436045,97.93631778605639,38.51884772804861,0.7949066095797594,,2,规则2-拼接段,25_26
6.448472222222223,0.001133810967951827,99.88661890320482,64.65960468147074,0.024437256323760276,,4,规则2-拼接段,27_28
7.617361111111111,0.007351899494529824,99.26481005054701,45.097564820562965,0.33155276400882283,,4,规则2-拼接段,29_30
7.687777777777778,0.0012840626056341642,99.87159373943659,50.96686157069782,0.032722320534733,,3,规则2-拼接段,31_32
7.7498611111111115,0.05776707279888512,94.22329272011149,39.6193358965533,2.288693060979677,,2,规则2-拼接段,33_34
9.075277777777778,0.09522006066441059,90.47799393355895,26.32310421611891,5.01297516066889,,3,规则2-拼接段,35_36
9.124583333333334,0.026445645851745872,97.35543541482541,30.76057513799331,0.81348327629539,,2,规则2-拼接段,37_38
9.192638888888888,0.001420946547815719,99.85790534521843,33.60896304255095,0.04775654001097885,,4,规则2-拼接段,39_40
9.267777777777777,0.08751376671345028,91.24862332865497,43.737195602564675,1.9138033663316942,,3,规则2-拼接段,41_42
9.314583333333333,0.0013878573929426519,99.86121426070574,36.36158645454625,0.0504646965800654,,2,规则2-拼接段,43_44
11.178333333333333,0.042604565599205564,95.73954344007944,31.659666666341803,2.697692690670282,,3,规则2-拼接段,45_46
11.273194444444444,0.0013468641462268897,99.86531358537731,40.25192536017638,0.05421387508422245,,2,规则2-拼接段,47_48
11.384583333333333,0.03235562298359715,96.76443770164026,60.88240482433762,0.9849440684155021,,3,规则2-拼接段,49_50
18.21013888888889,0.1589839954890633,84.10160045109366,78.57107898520626,12.336806724230811,1.0,39,规则1-风速段,
21.59611111111111,0.0009512613563451717,99.90487386436548,33.43467403611622,0.06361022674510923,,3,规则2-拼接段,51_52
21.695,0.0024752042374901902,99.75247957625099,40.898654617590104,0.10123252321710675,,2,规则2-拼接段,53_54
22.97888888888889,0.0011059203269344197,99.88940796730655,75.5300245596427,0.0208825473635912,,5,规则2-拼接段,55_56
25.962777777777777,0.017179038701129374,98.28209612988707,23.145185896016383,0.7952240885049983,,3,规则2-拼接段,57_58
26.083333333333332,0.05110678250133654,94.88932174986635,40.25497440264656,2.0573022213929275,,2,规则2-拼接段,59_60
26.243333333333332,0.027753946775596162,97.22460532244038,41.68846577982528,1.1570194604095327,,4,规则2-拼接段,61_62
27.38652777777778,0.0331790373757191,96.68209626242809,28.775782354519595,1.909505516512328,,3,规则2-拼接段,63_64
27.5375,0.07029395870905121,92.97060412909488,50.91989011167106,3.5793606529792306,,2,规则2-拼接段,65_66
27.701944444444443,0.0010313937772025365,99.89686062227975,63.19614632149489,0.0325900560295854,,3,规则2-拼接段,67_68
29.93402777777778,0.0013631242172401769,99.86368757827599,25.829670569732716,0.0704180989538771,,3,规则2-拼接段,69_70
30.016111111111112,0.09932478513866838,90.06752148613316,35.66601536643397,3.5425193130234987,,2,规则2-拼接段,71_72
30.159583333333334,0.049391740810053084,95.0608259189947,35.451689875891724,1.751020677628427,,4,规则2-拼接段,73_74
31.675833333333333,0.004019889172520444,99.59801108274796,34.57585233093399,0.2779821888315746,,3,规则2-拼接段,75_76
31.731527777777778,0.07153862921762703,92.8461370782373,35.416760145757166,2.5336664721569524,,2,规则2-拼接段,77_78
31.77888888888889,0.040274538833585664,95.97254611664144,42.15028837633068,1.6975834260593643,,4,规则2-拼接段,79_80
32.918055555555554,0.0010768893481367297,99.89231106518632,61.28368017096532,0.03299787119536533,,3,规则2-拼接段,81_82
35.04069444444445,0.053067216910910896,94.69327830890892,48.527693882607366,1.716819771636406,,5,规则2-拼接段,83_84
36.06125,0.14437225812618068,85.56277418738193,31.7382127767317,4.582117447465954,,2,规则2-拼接段,85_86
36.10138888888889,0.02882765417313687,97.11723458268632,38.35675640868833,1.1057353089529185,,4,规则2-拼接段,87_88
36.16388888888889,0.0012950861386146055,99.87049138613854,48.748059787636386,0.03156646825766197,,3,规则2-拼接段,89_90
36.251805555555556,0.0314655786312873,96.85344213687127,22.874784336889835,1.4395366504522926,,3,规则2-拼接段,91_92
