时间,炉号,预警/报警类型,预警/报警事件,预警/报警区分
2024-12-04 00:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 00:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 01:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 02:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 02:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 04:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 04:50:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 05:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 05:44:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 07:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 08:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 08:18:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 08:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 08:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 08:52:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 09:02:00,1,预警,焚烧炉出口氧含量偏低,预警
2024-12-04 09:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 09:26:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 10:30:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 10:50:00,1,预警,焚烧炉出口氧含量偏低,预警
2024-12-04 11:00:00,1,预警,瞬时低炉温焚烧,预警
2024-12-04 11:00:00,1,报警,低炉温焚烧,报警
2024-12-04 11:00:00,1,预警,布袋除尘器压力损失偏低,预警
2024-12-04 11:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 11:52:00,1,预警,布袋除尘器压力损失偏高,预警
2024-12-04 12:02:00,1,预警,布袋除尘器压力损失偏高,预警
2024-12-04 12:10:00,1,预警,布袋除尘器压力损失偏高,预警
2024-12-04 12:16:00,1,预警,布袋除尘器压力损失偏高,预警
2024-12-04 12:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 12:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 13:22:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 13:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 13:42:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 13:54:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 14:00:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 15:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 16:02:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 16:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 16:28:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 16:34:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 17:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 19:12:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 19:46:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 19:56:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 20:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 20:36:00,1,预警,焚烧炉出口氧含量偏低,预警
2024-12-04 20:38:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 21:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 21:20:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 22:06:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 23:04:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 23:24:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 23:32:00,1,预警,焚烧炉出口氧含量偏高,预警
2024-12-04 23:50:00,1,预警,焚烧炉出口氧含量偏高,预警
